can_buy_diaper,created_at,dad_friendly,floor_level,has_changing_table,has_diaper_mat,has_lock,has_power_outlet,has_sink,notes,stroller_friendly,updated_at,venue_id
False,2026-08-15T18:21:34.211459+00:00,False,Levels 1 and 2 (near restrooms),True,False,True,False,False,Diaper changing station; lockable cubicles; private room,False,2026-08-15T18:21:34.211459+00:00,3b30f29f-c12a-4e47-98b9-23ffaba1b13b
False,2026-08-15T18:21:34.211459+00:00,False,Near the water play area,True,False,False,False,True,Diaper changing station; wash basin; water dispenser,False,2026-08-15T18:21:34.211459+00:00,834c1384-f9cd-4223-80d8-24f8bce03148
False,2026-08-15T18:21:34.211459+00:00,False,Within the embassy premises,True,False,False,True,True,Diaper changing station; wash basin; power points,False,2026-08-15T18:21:34.211459+00:00,d255e431-4cfe-46cd-a5dc-385015b65c6d
False,2026-08-15T18:21:34.211459+00:00,False,Level 1,False,False,True,True,True,Lockable cubicles; wash basin; power points,False,2026-08-15T18:21:34.211459+00:00,a7432643-5e19-4864-9ded-3d8a315c01e4
False,2026-08-15T18:21:34.211459+00:00,False,"Level 2 (behind Kohong Health Care Centre, near OSIM); Level 3 (near car park entrance)",False,False,True,True,True,Lockable family rooms; baby holders; power sockets; sinks,False,2026-08-15T18:21:34.211459+00:00,a89dc6c0-8b05-4ade-88f7-0205e7657f37
False,2026-08-15T18:21:34.211459+00:00,False,"Levels 3, 4 and 7",True,False,False,False,False,No changing tables; nursing only,False,2026-08-15T18:21:34.211459+00:00,e3307c7c-8f31-4b93-865c-3938cfb9e02b
False,2026-08-15T18:21:34.211459+00:00,False,Level 3 or 5 (near restrooms),True,False,True,False,False,Lockable; marble finishes; diaper disposal bags,False,2026-08-15T18:21:34.211459+00:00,cbbe816e-7607-47fc-b489-082597046e35
False,2026-08-15T18:21:34.211459+00:00,False,Basement 1; Level 1; Level 2; Level 3,False,False,True,True,False,Lockable cubicles; power points; toys on some levels,False,2026-08-15T18:21:34.211459+00:00,1cd6860b-6342-4b50-b90c-abb1d6378f80
True,2026-08-15T18:21:34.211459+00:00,False,Level B1; Level 3,True,False,True,True,False,Lockable; diaper dispenser; power points,False,2026-08-15T18:21:34.211459+00:00,0b56a972-c673-4c0a-9b2c-9cb6f917e0e0
False,2026-08-15T18:21:34.211459+00:00,False,Tower 3 Level 1 and 2; Level 3 beside Concierge,True,False,False,True,True,Diaper changing; wash basin; power points,False,2026-08-15T18:21:34.211459+00:00,6700b754-e49b-41f1-81df-f5aa44b3206a
True,2026-08-15T18:21:34.211459+00:00,False,"Children's Department, Level 4",True,False,False,False,False,5 nursing areas; diaper dispenser; TV waiting area,False,2026-08-15T18:21:34.211459+00:00,747e3981-c5c8-4939-89c2-02a050b3b286
False,2026-08-15T18:21:34.211459+00:00,False,Level 1 (near Lift Lobby A),False,False,True,False,True,Lockable; wash basin; water dispenser,False,2026-08-15T18:21:34.211459+00:00,974e5437-c44e-44f1-a5d8-ba5d483709de
False,2026-08-15T18:21:34.211459+00:00,False,Level 1,False,False,False,False,False,3 nursing rooms; complimentary nursing pads,False,2026-08-15T18:21:34.211459+00:00,08a16b78-4d70-40e3-b12d-db70ec721d52
False,2026-08-15T18:21:34.211459+00:00,False,Levels 2 (Lobbies Q and H) and 3 (Lobby H),False,False,False,False,False,4 nursing areas; playground nearby,False,2026-08-15T18:21:34.211459+00:00,00572f92-557f-420c-a268-c660bb05598e
False,2026-08-15T18:21:34.211459+00:00,False,Basement 2 to Level 2,False,False,False,False,False,Fits 2 strollers; bench for accompanying family,True,2026-08-15T18:21:34.211459+00:00,e783cd7c-e7b4-4609-826c-05837c9ca456
False,2026-08-15T18:21:34.211459+00:00,False,Child Guidance Clinic Block 3 B1; Private Clinic Block 1 Level 2,False,False,True,True,False,Lockable cubicles; power points,False,2026-08-15T18:21:34.211459+00:00,eecd6f03-6894-4501-b176-415559660d61
False,2026-08-15T18:21:34.211459+00:00,False,Tower B Level 2 (near Fork & Spoon); Tower C Level 1M (staff only),False,False,False,True,True,Wash basin; power points; multiple cubicles,False,2026-08-15T18:21:34.211459+00:00,2c91391e-d76a-40c0-8579-a873e40119c7
False,2026-08-15T18:21:34.211459+00:00,False,Level 6,False,False,True,True,True,Lockable; wash basin; power points,False,2026-08-15T18:21:34.211459+00:00,854e1550-b1f3-45cf-a60c-7e3a935ec272
False,2026-08-15T18:21:34.211459+00:00,False,,False,False,False,False,False,Private room for one parent and baby,False,2026-08-15T18:21:34.211459+00:00,c5f39230-52ad-49e1-820e-1bbad180f1ec
False,2026-08-15T18:21:34.211459+00:00,False,,True,False,False,False,False,Diaper changing station; private room,False,2026-08-15T18:21:34.211459+00:00,8364347b-24a2-4d99-9fcf-7a0fb1939428
False,2026-08-15T18:21:34.211459+00:00,False,"Levels B3, 1 and 5",False,False,False,True,False,Armchairs; microwave at B3/L5; power points at L1,False,2026-08-15T18:21:34.211459+00:00,a2893c16-cce4-4012-a3e2-d502fb2bc2d4
False,2026-08-15T18:21:34.211459+00:00,False,Basement 1 and Level 1 by restrooms,False,False,False,True,False,Two rooms with curtains; power points,False,2026-08-15T18:21:34.211459+00:00,ce025f8f-c1d0-4071-b8e5-d950928de965
False,2026-08-15T18:21:34.211459+00:00,False,Level 3 near restrooms,False,False,True,False,True,Lockable; benches; sinks; hot water dispenser,False,2026-08-15T18:21:34.211459+00:00,cd4885fb-e011-4ba2-a963-3736894a4f7f
False,2026-08-15T18:21:34.211459+00:00,False,Level 1 next to restrooms,False,False,True,False,False,"Two rooms, curtain-separated, no locks",False,2026-08-15T18:21:34.211459+00:00,06a142fe-aed5-427d-961b-189c4617ef3e
False,2026-08-15T18:21:34.211459+00:00,False,Level 3,False,False,False,False,False,Two cubicles with curtains; playground,False,2026-08-15T18:21:34.211459+00:00,a57db61d-cb62-4b57-939e-dcdabcb1443a
False,2026-08-15T18:21:34.211459+00:00,False,Level 1; Levels 2-3; Level 4,False,False,True,False,False,L1 cubicle only; L2-4 lockable,False,2026-08-15T18:21:34.211459+00:00,964237bb-0afe-4894-95ee-d28009af9863
False,2026-08-15T18:21:34.211459+00:00,False,Level B1,True,False,True,False,True,Entire room lockable; changing table; sink,False,2026-08-15T18:21:34.211459+00:00,a4bc19b1-7006-4c9b-a269-3eb3a0a5b64f
False,2026-08-15T18:21:34.211459+00:00,False,Levels 1 to 5 and Level 7 near restrooms,False,False,False,True,True,Sofas; curtains; sinks; power points,False,2026-08-15T18:21:34.211459+00:00,13a66804-f049-43c7-9c9d-30955628729d
False,2026-08-15T18:21:34.211459+00:00,False,Level 1 near female restrooms,True,False,True,False,True,Lockable room; changing station; sink,False,2026-08-15T18:21:34.211459+00:00,a37d2a0e-22cc-4f7d-ad0d-011a17c655fd
