address,building_match_confidence,created_at,id,latitude,location,longitude,name,postal_code,removed_at,removed_reason,source,type,updated_at
460 ALEXANDRA ROAD ALEXANDRA RETAIL CENTRE (ARC) SINGAPORE 119963,HIGH,2026-08-15T18:21:33.835675+00:00,3b30f29f-c12a-4e47-98b9-23ffaba1b13b,1.27414894,0101000020E61000000567C7204AF359401DC1B9FEE962F43F,103.80139942,Alexandra Retail Mall,119963,,,BMSG,Nursing Room,2026-08-15T18:21:33.835675+00:00
991 BUANGKOK LINK 3-QUICK CUT BUANGKOK SQUARE MALL SINGAPORE 530991,HIGH,2026-08-15T18:21:33.835675+00:00,834c1384-f9cd-4223-80d8-24f8bce03148,1.38411655,0101000020E61000008A639B6A66F859407B8D44655725F63F,103.881251,Buangkok Square Mall,530991,,,BMSG,Family Room,2026-08-15T18:21:33.835675+00:00
20 NASSIM ROAD EMBASSY OF THE REPUBLIC OF THE PHILIPPINES SINGAPORE 258395,HIGH,2026-08-15T18:21:33.835675+00:00,d255e431-4cfe-46cd-a5dc-385015b65c6d,1.30906511,0101000020E610000078B1DB19A9F459408C29ED42EEF1F43F,103.82282111,Embassy of the Republic of the Philippines in Singapore,258395,,,BMSG,Nursing Room,2026-08-15T18:21:33.835675+00:00
583 ORCHARD ROAD CHILTERN HOUSE FORUM SINGAPORE 238884,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,a7432643-5e19-4864-9ded-3d8a315c01e4,1.3061958,0101000020E61000003364AE4A06F55940EDC6F6902DE6F43F,103.82850902,Forum Shopping Mall,238884,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,a89dc6c0-8b05-4ade-88f7-0205e7657f37,1.33487526,0101000020E6100000DAE7BB1FCDEF594004207029A65BF53F,103.74689477,IMM,609601,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,HIGH,2026-08-15T18:21:33.835675+00:00,e3307c7c-8f31-4b93-865c-3938cfb9e02b,1.30083891,0101000020E6100000404E764CB9F55940018F8E753CD0F43F,103.83943473,Orchard Central,238896,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
290 ORCHARD ROAD MINDCHAMPS PRESCHOOL @ PARAGON PTE. LIMITED SINGAPORE 238859,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,cbbe816e-7607-47fc-b489-082597046e35,1.30372322,0101000020E61000001113C89374F55940ED720CE20CDCF43F,103.83524031,Paragon,238859,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
80 MARINE PARADE ROAD MARINE PARADE POST OFFICE SINGAPORE 449269,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,1cd6860b-6342-4b50-b90c-abb1d6378f80,1.30104196,0101000020E61000008A9E44CBF3F959409EC50A6011D1F43F,103.90550501,Parkway Parade,449269,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
252 NORTH BRIDGE ROAD RAFFLES CITY SHOPPING CENTRE SINGAPORE 179103,HIGH,2026-08-15T18:21:33.835675+00:00,0b56a972-c673-4c0a-9b2c-9cb6f917e0e0,1.29389358,0101000020E61000001B843A8499F659400DBDCBC0C9B3F43F,103.8531199,Raffles City Shopping Centre,179103,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 RAFFLES BOULEVARD SUNTEC SINGAPORE CONVENTION & EXHIBITION CENTRE SINGAPORE 039593,HIGH,2026-08-15T18:21:33.835675+00:00,6700b754-e49b-41f1-81df-f5aa44b3206a,1.29350362,0101000020E610000091BEBF47DCF659407F1E1CDB30B2F43F,103.85719484,Suntec Convention Centre,039593,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
391 Orchard Rd Singapore 238872,NOMINATIM,2026-08-15T18:21:33.835675+00:00,747e3981-c5c8-4939-89c2-02a050b3b286,1.3022662,0101000020E6100000BE8EEED668F55940A8FA3A1515D6F43F,103.8345239,Takashimaya,,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 VISTA EXCHANGE GREEN NEW CREATION CHURCH SINGAPORE 138617,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,974e5437-c44e-44f1-a5d8-ba5d483709de,1.30695082,0101000020E6100000AC2B7A4C73F2594054F3764445E9F43F,103.78828728,The Star Vista,138617,,,BMSG,Nursing Room,2026-08-15T18:21:33.835675+00:00
101 Thomson Rd Singapore 307591,NOMINATIM,2026-08-15T18:21:33.835675+00:00,08a16b78-4d70-40e3-b12d-db70ec721d52,1.3173631,0101000020E6100000CB37914FFEF5594099507754EB13F53F,103.8436469,United Square,,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 HARBOURFRONT WALK GOLDEN VILLAGE (GV VIVOCITY) SINGAPORE 098585,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,00572f92-557f-420c-a268-c660bb05598e,1.26431382,0101000020E6100000E827E9D99CF45940B71D1F22A13AF43F,103.82207344,VivoCity,098585,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
83 Punggol Central Singapore 828763,NOMINATIM,2026-08-15T18:21:33.835675+00:00,e783cd7c-e7b4-4609-826c-05837c9ca456,1.4064266,0101000020E6100000246AFD88BAF959407297B32DB980F63F,103.9020102,Waterway Point,,,,BMSG+SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
10 Buangkok View Singapore 539747,NOMINATIM,2026-08-15T18:21:33.835675+00:00,eecd6f03-6894-4501-b176-415559660d61,1.3818932,0101000020E6100000A2D524D37CF859405E09490B3C1CF63F,103.8826187,Institute of Mental Health,,,,BMSG,Nursing Pod,2026-08-15T18:21:33.835675+00:00
1 JURONG EAST STREET 21 JURONG COMMUNITY HOSPITAL SINGAPORE 609606,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,2c91391e-d76a-40c0-8579-a873e40119c7,1.33260944,0101000020E6100000360A04DEC8EF5940EDD3CC455E52F53F,103.74663496,Ng Teng Fong Hospital,609606,,,BMSG,Nursing Rooms,2026-08-15T18:21:33.835675+00:00
587 Upper Serangoon Rd Singapore 534564,NOMINATIM,2026-08-15T18:21:33.835675+00:00,854e1550-b1f3-45cf-a60c-7e3a935ec272,1.3508497,0101000020E6100000A331A4D4EFF759408AFB3493149DF53F,103.8740131,Serangoon Polyclinic,,,,BMSG,Nursing Room,2026-08-15T18:21:33.835675+00:00
450 Clementi Avenue 1 Singapore 129955,NOMINATIM,2026-08-15T18:21:33.835675+00:00,c5f39230-52ad-49e1-820e-1bbad180f1ec,1.3076779,0101000020E61000006B3986B652F15940393B63A93FECF43F,103.7706734,Holy Cross Church,,,,BMSG,Nursing Pod,2026-08-15T18:21:33.835675+00:00
11 LIM CHU KANG ROAD MASJID PUSARA AMAN SINGAPORE 719452,HIGH,2026-08-15T18:21:33.835675+00:00,8364347b-24a2-4d99-9fcf-7a0fb1939428,1.37279329,0101000020E61000000BE8A4AD6FEC59402D41061AF6F6F53F,103.6943163,Pusara Aman Mosque,719452,,,BMSG,Nursing Pod,2026-08-15T18:21:33.835675+00:00
313 Orchard Rd Singapore 238895,NOMINATIM,2026-08-15T18:21:33.835675+00:00,a2893c16-cce4-4012-a3e2-d502fb2bc2d4,1.3010188,0101000020E61000009DC0CF13AAF55940DAB2D716F9D0F43F,103.8385057,313@Somerset,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
370 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159953,HIGH,2026-08-15T18:21:33.835675+00:00,ce025f8f-c1d0-4071-b8e5-d950928de965,1.28861469,0101000020E61000001DB8834885F35940322400702A9EF43F,103.80500996,Anchorpoint Shopping Centre,159953,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
53 Ang Mo Kio Ave 3 Singapore 569933,NOMINATIM,2026-08-15T18:21:33.835675+00:00,cd4885fb-e011-4ba2-a963-3736894a4f7f,1.3697957,0101000020E61000002E71E48148F659400C395BE5AEEAF53F,103.8481755,Ang Mo Kio Hub,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
12 Kallang Ave Singapore 339511,NOMINATIM,2026-08-15T18:21:33.835675+00:00,06a142fe-aed5-427d-961b-189c4617ef3e,1.3097673,0101000020E6100000DB2D6E4848F759406DEC6D8ECEF4F43F,103.8637868,Aperia Kallang Mall,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
311 New Upper Changi Rd Singapore 467360,NOMINATIM,2026-08-15T18:21:33.835675+00:00,1f0bf352-5e46-45dc-875f-a993a1028ae6,1.3248627,0101000020E61000006382757778FB59404D0B033BA332F53F,103.9292277,Bedok Mall,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
200 Victoria St Singapore 188021,NOMINATIM,2026-08-15T18:21:33.835675+00:00,a57db61d-cb62-4b57-939e-dcdabcb1443a,1.2988992,0101000020E610000041C52753BBF659401BCF0C874AC8F43F,103.8551834,Bugis Junction,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 JELEBU ROAD BUKIT PANJANG LIBRARY SINGAPORE 677743,HIGH,2026-08-15T18:21:33.835675+00:00,964237bb-0afe-4894-95ee-d28009af9863,1.37948804,0101000020E61000002465B81FEFF05940FAAF220D6212F63F,103.76459497,Bukit Panjang Plaza,677743,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 Jalan Anak Bukit Singapore 588996,NOMINATIM,2026-08-15T18:21:33.835675+00:00,a4bc19b1-7006-4c9b-a269-3eb3a0a5b64f,1.3384959,0101000020E610000076E4A320D3F15940094845AD7A6AF53F,103.7785112,Bukit Timah Plaza,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,HIGH,2026-08-15T18:21:33.835675+00:00,13a66804-f049-43c7-9c9d-30955628729d,1.43607007,0101000020E6100000527B73854DF259403B8DC49A24FAF63F,103.78598152,Causeway Point,738099,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
6 Eu Tong Sen St Singapore 059817,NOMINATIM,2026-08-15T18:21:33.835675+00:00,a37d2a0e-22cc-4f7d-ad0d-011a17c655fd,1.2889856,0101000020E6100000301812E62CF659402F3D505DAF9FF43F,103.8464904,Central @ Clarke Quay,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
176 Orchard Rd Singapore 238843,NOMINATIM,2026-08-15T18:21:33.835675+00:00,56ea2d5d-3672-4b60-9612-312022a32b6a,1.3018631,0101000020E6100000515557F4BDF5594027E8E5666ED4F43F,103.8397189,Centrepoint,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
60 AIRPORT BOULEVARD METEOROLOGICAL SERVICE SINGAPORE SINGAPORE 819643,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,9254956c-34cb-4d9c-acbe-2580f6613422,1.35525176,0101000020E6100000431398C94AFF5940C7EDFA781CAFF53F,103.98893967,Changi Airport,819643,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
5 Changi Business Park Central 1 Singapore 486038,NOMINATIM,2026-08-15T18:21:33.835675+00:00,65033699-7338-4b86-b9bb-8d8e8305d797,1.3345959,0101000020E61000003E84A7469EFD5940D002FE3A815AF53F,103.9627854,Changi City Point,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
133 NEW BRIDGE ROAD CHINATOWN POINT SINGAPORE 059413,HIGH,2026-08-15T18:21:33.835675+00:00,413ee801-818b-490b-aae3-05045110c528,1.28499883,0101000020E610000005A258840FF65940631B7BEE5A8FF43F,103.84469708,Chinatown Point,059413,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
180 Kitchener Rd Singapore 208539,NOMINATIM,2026-08-15T18:21:33.835675+00:00,b21fd182-9b81-42d7-be0d-24f34cfe0a79,1.3115008,0101000020E610000058F66E3DD4F659406BD84A43E8FBF43F,103.8567041,City Square Mall,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
442 Orchard Rd Singapore 238879,NOMINATIM,2026-08-15T18:21:33.835675+00:00,1de3f1da-a760-452b-89cb-5dcf56de429a,1.3076686,0101000020E6100000896D41A500F559400219F0E835ECF43F,103.8281644,Claymore Connect,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
3155 Commonwealth Ave W Singapore 129588,NOMINATIM,2026-08-15T18:21:33.835675+00:00,5f4cfc28-aa22-4e6e-a1b5-657a403e6bd1,1.3151244,0101000020E61000008C6BD7DFEDF05940F7BE02E2BF0AF53F,103.7645187,Clementi Mall,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 Sengkang Square Singapore 545078,NOMINATIM,2026-08-15T18:21:33.835675+00:00,0f487aa9-efe0-4e07-9315-672aed1ec4d5,1.3920337,0101000020E6100000171E45E746F95940C5E00621C545F63F,103.8949526,Compass One,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
