name,verdict,distance_m,existing_confidence,existing_lat,existing_lng,onemap_lat,onemap_lng,known_address,onemap_address
Changi Airport,CONFLICT,1246,LOW_REVIEW,1.35525176294219,103.988939665328,1.34580556425439,103.982913693484,60 Airport Blvd Singapore 819643,CHANGI AIRPORT AIRCRAFT FLYOVER
Millennia Walk,NO_ONEMAP_MATCH,,NOMINATIM,1.2928695,103.8594161,,,9 Raffles Blvd Singapore 039596,
Sentosa Island (Festive Walk / Galleria),DRIFT,908,NOMINATIM,1.2489459,103.8343056,1.24928684857807,103.842467353413,Sentosa Island Singapore,1 TREASURE ISLAND SENTOSA COVE SINGAPORE 098332
The Shoppes at Marina Bay Sands,DRIFT,788,NOMINATIM,1.2777305,103.8563473,1.28406269868627,103.859522743863,8 Bayfront Ave Singapore 018955,8 BAYFRONT AVENUE MARINA BAY SANDS (CASINO) SINGAPORE 018955
Jurong East Bus Interchange,DRIFT,684,NOMINATIM,1.3358428,103.7456165,1.33186414040483,103.740927198553,17A Jurong Gateway Road Singapore 608513,17A JURONG GATEWAY ROAD JURONG EAST BUS INTERCHANGE SINGAPORE 608513
Singapore Zoo,DRIFT,536,NOMINATIM,1.4037076,103.7940374,1.40559439269495,103.789598292943,80 Mandai Lake Rd Singapore 729826,80 MANDAI LAKE ROAD SINGAPORE ZOO SINGAPORE 729826
Institute of Mental Health,DRIFT,290,NOMINATIM,1.3818932,103.8826187,1.38159451793256,103.885209972539,10 Buangkok View Singapore 539747,10 BUANGKOK VIEW BUANGKOK GREEN MEDICAL PARK SINGAPORE 539747
Harbourfront Centre,DRIFT,206,NOMINATIM,1.2636487,103.8184226,1.26396991176004,103.820243325181,1 Maritime Square Singapore 099253,1 MARITIME SQUARE SINGAPORE 099253
Marina Square,DRIFT,175,HIGH,1.29185533273026,103.85857808906,1.29157395654843,103.857026955372,6 Raffles Blvd Singapore 039594,"6 RAFFLES BOULEVARD PARKROYAL COLLECTION MARINA BAY, SINGAPORE SINGAPORE 039594"
Ng Teng Fong Hospital,DRIFT,172,LOW_REVIEW,1.33260943666141,103.746634963937,1.33360619131534,103.745448362928,1 Jurong East Street 21 Singapore 609606,1 JURONG EAST STREET 21 NG TENG FONG GENERAL HOSPITAL SINGAPORE 609606
Jurong Point,DRIFT,159,NOMINATIM,1.3394964,103.705254,1.33945271661445,103.70668501289,1 Jurong West Central 2 Singapore 648886,1 JURONG WEST CENTRAL 2 JURONG POINT SINGAPORE 648886
Suntec City Shopping Mall,CONFIRMED,129,NOMINATIM,1.2951505,103.8598741,1.29593189477195,103.859014406736,3 Temasek Boulevard Singapore 038983,3 TEMASEK BOULEVARD SUNTEC CITY MALL SINGAPORE 038983
Marina Bay Link Mall,CONFIRMED,119,NOMINATIM,1.2812488,103.8530087,1.28023825446086,103.853369662547,8A Marina Blvd Singapore 018984,8A MARINA BOULEVARD MARINA BAY LINK MALL SINGAPORE 018984
OUE Downtown Gallery,CONFIRMED,119,NOMINATIM,1.2770527,103.8484578,1.27796672410263,103.849007895764,6A Shenton Way Singapore 068815,6A SHENTON WAY OUE DOWNTOWN SINGAPORE 068815
Northpoint City,CONFIRMED,99,NOMINATIM,1.428813,103.8357469,1.42969848626288,103.835776491468,930 Yishun Ave 2 Singapore 769098,930 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769098
Shaw Centre,CONFIRMED,90,NOMINATIM,1.3066335,103.8313493,1.3061133465565,103.831970581812,1 Scotts Rd Singapore 228208,1 SCOTTS ROAD SHAW CENTRE SINGAPORE 228208
Resorts World Sentosa,CONFIRMED,77,NOMINATIM,1.2556955,103.8202156,1.25500579622092,103.820259163829,8 Sentosa Gateway Singapore 098269,8 SENTOSA GATEWAY HOTEL MICHAEL SINGAPORE 098269
Takashimaya,CONFIRMED,73,NOMINATIM,1.3022662,103.8345239,1.30224168528687,103.835181912297,391 Orchard Rd Singapore 238872,391 ORCHARD ROAD NGEE ANN CITY SINGAPORE 238872
