name,type,location_level,amenities_notes,known_address,source,onemap_address,postal_code,latitude,longitude,building_match,match_confidence
Alexandra Retail Mall,Nursing Room,Levels 1 and 2 (near restrooms),Diaper changing station; lockable cubicles; private room,460 Alexandra Road Singapore 119963,BMSG,460 ALEXANDRA ROAD ALEXANDRA RETAIL CENTRE (ARC) SINGAPORE 119963,119963,1.27414893629254,103.801399416665,ALEXANDRA RETAIL CENTRE (ARC),HIGH
Buangkok Square Mall,Family Room,Near the water play area,Diaper changing station; wash basin; water dispenser,991 Buangkok Link Singapore 530991,BMSG,991 BUANGKOK LINK 3-QUICK CUT BUANGKOK SQUARE MALL SINGAPORE 530991,530991,1.38411655004242,103.881251003024,3-QUICK CUT BUANGKOK SQUARE MALL,HIGH
Embassy of the Republic of the Philippines in Singapore,Nursing Room,Within the embassy premises,Diaper changing station; wash basin; power points,20 Nassim Road Singapore 258395,BMSG,20 NASSIM ROAD EMBASSY OF THE REPUBLIC OF THE PHILIPPINES SINGAPORE 258395,258395,1.30906511443263,103.822821106476,EMBASSY OF THE REPUBLIC OF THE PHILIPPINES,HIGH
Forum Shopping Mall,Nursing Room,Level 1,Lockable cubicles; wash basin; power points,583 Orchard Rd Singapore 238884,BMSG+SassyMama,583 ORCHARD ROAD CHILTERN HOUSE FORUM SINGAPORE 238884,238884,1.30619579912712,103.828509016327,CHILTERN HOUSE FORUM,LOW_REVIEW
IMM,Nursing Room,"Level 2 (behind Kohong Health Care Centre, near OSIM); Level 3 (near car park entrance)",Lockable family rooms; baby holders; power sockets; sinks,2 Jurong East Street 21 Singapore 609601,BMSG+SassyMama,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,609601,1.33487526118006,103.746894773008,IMM BUILDING,LOW_REVIEW
Orchard Central,Nursing Room,"Levels 3, 4 and 7",No changing tables; nursing only,181 Orchard Rd Singapore 238896,BMSG+SassyMama,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,238896,1.30083890839245,103.839434733899,ORCHARD CENTRAL,HIGH
Paragon,Nursing Room,Level 3 or 5 (near restrooms),Lockable; marble finishes; diaper disposal bags,290 Orchard Road Singapore 238859,BMSG+SassyMama,290 ORCHARD ROAD MINDCHAMPS PRESCHOOL @ PARAGON PTE. LIMITED SINGAPORE 238859,238859,1.30372322368856,103.83524031199,MINDCHAMPS PRESCHOOL @ PARAGON PTE. LIMITED,LOW_REVIEW
Parkway Parade,Nursing Room,Basement 1; Level 1; Level 2; Level 3,Lockable cubicles; power points; toys on some levels,80 Marine Parade Rd Singapore 449269,BMSG+SassyMama,80 MARINE PARADE ROAD MARINE PARADE POST OFFICE SINGAPORE 449269,449269,1.301041960873,103.905505005847,MARINE PARADE POST OFFICE,LOW_REVIEW
Raffles City Shopping Centre,Nursing Room,Level B1; Level 3,Lockable; diaper dispenser; power points,252 North Bridge Rd Singapore 179103,BMSG+SassyMama,252 NORTH BRIDGE ROAD RAFFLES CITY SHOPPING CENTRE SINGAPORE 179103,179103,1.29389357863312,103.853119904656,RAFFLES CITY SHOPPING CENTRE,HIGH
Suntec Convention Centre,Nursing Room,Tower 3 Level 1 and 2; Level 3 beside Concierge,Diaper changing; wash basin; power points,1 Raffles Blvd Singapore 039593,BMSG+SassyMama,1 RAFFLES BOULEVARD SUNTEC SINGAPORE CONVENTION & EXHIBITION CENTRE SINGAPORE 039593,039593,1.29350362386495,103.85719484067,SUNTEC SINGAPORE CONVENTION & EXHIBITION CENTRE,HIGH
Takashimaya,Nursing Room,"Children's Department, Level 4",5 nursing areas; diaper dispenser; TV waiting area,391 Orchard Rd Singapore 238872,BMSG+SassyMama,,,1.3022662,103.8345239,Takashimaya,NOMINATIM
The Star Vista,Nursing Room,Level 1 (near Lift Lobby A),Lockable; wash basin; water dispenser,1 Vista Exchange Green Singapore 138617,BMSG,1 VISTA EXCHANGE GREEN NEW CREATION CHURCH SINGAPORE 138617,138617,1.30695082420353,103.788287276561,NEW CREATION CHURCH,LOW_REVIEW
United Square,Nursing Room,Level 1,3 nursing rooms; complimentary nursing pads,101 Thomson Rd Singapore 307591,BMSG+SassyMama,,,1.3173631,103.8436469,United Square,NOMINATIM
