name,location_level,known_address,amenities_notes,source,source_url
313@Somerset,"Levels B3, 1 and 5","313@Somerset , 313 Orchard Rd, Singapore 238895","Levels B3, 1 and 5 Expect changing stations, nursing cubicles with armchairs and benches, large waiting areas, a hot and cold water dispenser, power points at the level 1 nursing room, a microwave at the B3 and Level 5 rooms, and a child look level 1 plus a child-friendly loo at Level B3",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Anchorpoint Shopping Centre,Basement 1 and Level 1 by,"Anchorpoint Shopping Centre , 370 Alexandra Road, Singapore 159953",Basement 1 and Level 1 by the restrooms There are two nursing rooms here with armchairs separated by curtains,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Ang Mo Kio Hub,,,,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Aperia Kallang Mall,Level 1,"Aperia Kallang Mall , 12 Kallang Ave, Singapore 339511",Level 1 next to the restrooms The two nursing rooms here are separated by curtains and have no locks,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Bedok Mall,Level B1 near restrooms Key features include,"Bedok Mall , 311 New Upper Changi Rd, Singapore 467360","Level B1 near restrooms Key features include two lockable nursing rooms with armchairs, but there’s no table or space to park your stroller in the room",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Bugis Junction,,,,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Bukit Panjang Plaza,Level 1 (within ladies’ restroom); Level 2 to 3 (next to lif,"Bukit Panjang Plaza , 1 Jelebu Rd, Singapore 677743","Level 1 (within ladies’ restroom); Level 2 to 3 (next to lifts) and Level 4 (next to the library) The nursing room on Level 1 is merely a cubicle with curtains and no locks, so head up to those on Levels 2 to 4 for lockable doors and added privacy",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Bukit Timah Plaza,Level B1,"Bukit Timah Plaza , 1 Jalan Anak Bukit, Singapore 588996","Level B1 The entire nursing room at Bukit Timah Plaza can be locked, guaranteeing absolute privacy",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Causeway Point,,,,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Central @ Clarke Quay,"Level 1, near female restrooms Don’t","Central @ Clarke Quay , 6 Eu Tong Sen St, Singapore 059817","Level 1, near female restrooms Don’t expect luxury from Central’s nursing room, but it’s got the basics and you can lock the room to have the entire space to yourself",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Centrepoint,"Level 6 (one within Metro Department Store, one beside Manag","Centrepoint , 176 Orchard Rd, Singapore 238843","Level 6 (one within Metro Department Store, one beside Management office and restrooms) You can expect lockable nursing rooms with armchairs and side tables (there’s even a bed in the Metro baby room!), alongside changing tables, a hot and cold water dispenser, a sink and power points as well as a playpen and cot",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Changi Airport,,,Click here for locations across all four terminals,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Changi City Point,,,,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Chinatown Point,Level 3,"Chinatown Point , 133 New Bridge Rd, Singapore 059413",Level 3 The nursing room is small and does not have locks or any form of separation,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
City Square Mall,Levels 2 and 4 (nursing rooms); Levels B2 to 4 (diaper chang,"City Square Mall , 180 Kitchener Rd, Singapore 208539",Levels 2 and 4 (nursing rooms); Levels B2 to 4 (diaper changing stations in male and female toilets) This vast mall has several baby care rooms that can fit your stroller and offer privacy with lockable nursing rooms,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Claymore Connect,,,,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Clementi Mall,Level 3 and 4 (two baby rooms by food court and restrooms); ,"Clementi Mall , 3155 Commonwealth Ave W, Singapore 129588","Level 3 and 4 (two baby rooms by food court and restrooms); Level 5 The lockable nursing rooms have a chair or sofa, changing stations, sinks, a magazine/reading rack and power points",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Compass One (formerly Compass Point),Level B1 and Level 4 Warmly lit and spacious,"Image Credit: Compass One via Official Website Compass One , 1 Sengkang Square, Singapore 545078","Level B1 and Level 4 Warmly lit and spacious, the nursing room at Compass One has a hot and cold water dispenser, diaper-changing stations and a comfy long bench for bigger tots to sit and unwind while mama feeds baby",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Far East Plaza,Levels 1 to 5 (Next to,"Far East Plaza , 14 Scotts Rd, Singapore 228213","Levels 1 to 5 (Next to the restrooms) The individual parenting rooms at Far East Plaza are fitted with a bench and a changing table, and the entire room can be locked",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Forum The Shopping Mall,Level 1,"Forum the Shopping Mall , 583 Orchard Rd, Singapore 238884","Level 1 The Mother’s Room comes complete with changing stations, two nursing rooms with armchairs (separated by curtains) and a wash basin",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
The Fullerton Hotel Singapore,,,,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Great World,"Levels B1, 1 and 2 Great World’s baby care room is bright, c","Great World , 1 Kim Seng Promenade, Singapore 237994","Levels B1, 1 and 2 Great World’s baby care room is bright, colourful and comfy, with plenty of privacy and facilities such as a basin, hot water dispenser, diaper changing stations and nursing rooms",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Harbourfront Centre,Levels 2 and 3 (Lobby,"Harbourfront Centre , 1 Maritime Square, Singapore 099253","Levels 2 and 3 (Lobby A) This is a pretty old shopping centre, so it’s no surprise its family rooms aren’t very impressive, but they have all the basics and are often much less busy than the nursing rooms in neighbouring VivoCity! Expect changing tables, private feeding areas, as well as hot and cold drinking water",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Hougang Mall,Levels 2 and 5 (near restrooms),"Hougang Mall , 90 Hougang Ave 10, Singapore 538766","Levels 2 and 5 (near restrooms) Nursing rooms have armchairs (no locks; separated by curtains), changing stations, sinks, hot and cold water dispenser and power points",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
IKEA,,,"The baby care room is located near the restaurant IKEA’s baby care rooms feature some of its own products with a minimalist but functional design, plus those famous white high chairs to keep bub safely strapped in while you re-pack that diaper bag! Bonus: you can get free jars of baby food upon request and there are microwave ovens for warming up milk at the restaurant, too! Other must-haves include a waiting area, nursing cubicles, changing tables, sinks, water dispensers, bottle warmers, and a disposable diaper dispenser",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
IMM,Level 2 (behind Kohong Health Care Centre and near OSIM); Le,"IMM , 2 Jurong East Street 21, Singapore 609601","Level 2 (behind Kohong Health Care Centre and near OSIM); Level 3 (near car park entrance) Rejoice if you’ve got a pram with you because there is plenty of space for prams and daddies! In addition to lockable family rooms with nursing and changing areas, the nursing rooms here have baby holders to prop older babies up, power sockets and sinks",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
ION Orchard,,,,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
JEM,"Level B1, Level 3 and Level 5 and","JEM , 50 Jurong Gateway Rd, Singapore 608549","Level B1, Level 3 and Level 5 and the family toilet on Levels 2 to 5 Spacious and clean, these are truly family care rooms with child-sized toilets for your older bubs! There are three spacious lockable nursing rooms with armchairs and a small table, as well as three diaper changing stations (the changing table is at the family toilet on Level 2), a sink, hot and cold water dispenser, bottle warmer, children’s loo and power points",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Jewel,,"rapped when your little bub falls asleep in your arms! Jewel, 78 Airport Boulevard, Singapore 819666","every level from B2 to Level 4 We just have to rave about the nursing rooms at Jewel because it is one of the most spacious, clean and beautifully designed nursing rooms in Singapore",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
